CustomerID,Recency,Frequency,Monetary,Cluster,Segment,RecencyWeight,CLV_Estimated,CLV_Display
12346.0,326,1,77183.6,0,Low Value,0.40936394197312076,31596.18,31596.18
12347.0,2,7,4310.0,1,Medium Value,0.9945355327605971,30005.14,30005.14
12348.0,75,4,1797.24,1,Medium Value,0.8142568256998955,5853.66,5853.66
12349.0,19,1,1757.55,1,Medium Value,0.9492768502479139,1668.4,1668.4
12350.0,310,1,334.40000000000003,0,Low Value,0.4277077821818432,143.03,143.03
12352.0,36,8,2506.04,1,Medium Value,0.9060777707110016,18165.34,18165.34
12353.0,204,1,89.0,0,Low Value,0.5718353895140014,50.89,50.89
12354.0,232,1,1079.4,0,Low Value,0.5296089164223393,571.66,571.66
12355.0,214,1,459.4,0,Low Value,0.556381332575613,255.6,255.6
12356.0,23,3,2811.43,1,Medium Value,0.9389306115378647,7919.21,7919.21
12357.0,33,1,6207.67,1,Medium Value,0.9135556742779756,5671.05,5671.05
12358.0,2,2,1168.06,1,Medium Value,0.9945355327605971,2323.35,2323.35
12359.0,58,4,6372.58,1,Medium Value,0.8530781570623032,21745.24,21745.24
12360.0,52,3,2662.06,1,Medium Value,0.8672172530047058,6925.75,6925.75
12361.0,287,1,189.9,0,Low Value,0.4555265074181627,86.5,86.5
12362.0,3,10,5226.2300000000005,1,Medium Value,0.9918145070108791,51834.51,51834.51
12363.0,110,2,552.0,1,Medium Value,0.7398040959658876,816.74,816.74
12364.0,8,4,1313.1,1,Medium Value,0.9783206416625366,5138.53,5138.53
12365.0,291,2,641.38,0,Low Value,0.4505616902699594,577.96,577.96
12367.0,4,1,168.9,1,Medium Value,0.9891009259234047,167.06,167.06
12370.0,51,4,3545.69,1,Medium Value,0.8695964483676948,12333.28,12333.28
12371.0,45,2,1887.96,1,Medium Value,0.8840093219278197,3337.95,3337.95
12372.0,72,3,1298.04,1,Medium Value,0.8209769265766185,3196.98,3196.98
12373.0,311,1,364.6,0,Low Value,0.42653758378235396,155.52,155.52
12374.0,25,1,742.9300000000001,1,Medium Value,0.9337998559710435,693.75,693.75
12375.0,11,2,457.5,1,Medium Value,0.9703126049090957,887.84,887.84
12377.0,315,2,1628.12,0,Low Value,0.42188871906025815,1373.77,1373.77
12378.0,130,1,4008.62,1,Medium Value,0.7003574835146555,2807.47,2807.47
12379.0,82,2,852.24,1,Medium Value,0.7987897300493081,1361.52,1361.52
12380.0,22,4,2724.81,1,Medium Value,0.9415065512454748,10261.71,10261.71
12381.0,5,5,1845.31,1,Medium Value,0.9863947691297537,9101.02,9101.02
12383.0,185,5,1850.56,0,Low Value,0.6023905348209645,5573.8,5573.8
12384.0,29,2,585.27,1,Medium Value,0.9236223021681012,1081.14,1081.14
12386.0,338,2,401.9,0,Low Value,0.3961242329881746,318.4,318.4
12388.0,16,6,2780.6600000000003,1,Medium Value,0.9571112779029973,15968.41,15968.41
12390.0,80,1,549.84,1,Medium Value,0.8031786735985745,441.62,441.62
12391.0,22,1,460.89,1,Medium Value,0.9415065512454748,433.93,433.93
12393.0,72,4,1582.6,1,Medium Value,0.8209769265766185,5197.11,5197.11
12394.0,64,2,1272.48,1,Medium Value,0.8391695847094347,2135.65,2135.65
12395.0,19,12,3018.63,1,Medium Value,0.9492768502479139,34386.19,34386.19
12397.0,36,2,2409.9,1,Medium Value,0.9060777707110016,4367.11,4367.11
12398.0,46,1,1635.66,1,Medium Value,0.8815906932828687,1441.98,1441.98
12399.0,119,4,1108.65,1,Medium Value,0.7217854122180232,3200.83,3200.83
12401.0,303,1,84.3,0,Low Value,0.43598955763368685,36.75,36.75
12402.0,323,1,225.6,0,Low Value,0.4127424423412174,93.11,93.11
12403.0,50,1,427.7,1,Medium Value,0.8719821710115417,372.95,372.95
12405.0,149,1,1710.39,0,Low Value,0.6648331459983474,1137.12,1137.12
12406.0,22,2,3415.3,1,Medium Value,0.9415065512454748,6431.05,6431.05
12407.0,50,5,1708.12,1,Medium Value,0.8719821710115417,7447.25,7447.25
12408.0,33,5,2888.55,1,Medium Value,0.9135556742779756,13194.26,13194.26
12409.0,79,3,11072.67,1,Medium Value,0.805382180239219,26753.19,26753.19
12410.0,309,2,693.33,0,Low Value,0.4288811910001705,594.71,594.71
12412.0,75,3,1226.88,1,Medium Value,0.8142568256998955,2996.99,2996.99
12413.0,67,3,758.1,1,Medium Value,0.8323005679571122,1892.9,1892.9
12414.0,217,3,562.4100000000001,0,Low Value,0.5518270770785375,931.06,931.06
12415.0,24,21,124914.53,2,High Value,0.9363617195405107,2456268.87,482132.81240000005
12417.0,3,9,3649.1,1,Medium Value,0.9918145070108791,32573.07,32573.07
12418.0,113,1,668.58,1,Medium Value,0.7337484347250358,490.57,490.57
12420.0,64,1,600.39,1,Medium Value,0.8391695847094347,503.83,503.83
12421.0,16,4,807.04,1,Medium Value,0.9571112779029973,3089.71,3089.71
12422.0,96,3,803.5600000000001,1,Medium Value,0.7687313666723661,1853.17,1853.17
12423.0,1,8,1859.31,1,Medium Value,0.9972640235968593,14833.78,14833.78
12424.0,163,2,1760.96,0,Low Value,0.6398155530878573,2253.38,2253.38
12425.0,78,1,777.2,1,Medium Value,0.8075917321617853,627.66,627.66
12426.0,195,1,582.73,0,Low Value,0.5861107140981138,341.54,341.54
12427.0,22,3,825.8000000000001,1,Medium Value,0.9415065512454748,2332.49,2332.49
12428.0,26,9,7956.46,1,Medium Value,0.9312450015998506,66684.72,66684.72
12429.0,9,4,3750.4,1,Medium Value,0.9756439794722424,14636.22,14636.22
12430.0,43,1,256.4,1,Medium Value,0.8888665038181365,227.91,227.91
12431.0,36,15,6487.45,1,Medium Value,0.9060777707110016,88172.01,88172.01
12432.0,43,5,5059.32,1,Medium Value,0.8888665038181365,22485.3,22485.3
12433.0,1,7,13375.87,1,Medium Value,0.9972640235968593,93374.92,93374.92
12434.0,85,2,806.14,1,Medium Value,0.7922512423142077,1277.33,1277.33
12435.0,80,2,7829.89,1,Medium Value,0.8031786735985745,12577.6,12577.6
12436.0,100,1,509.01,1,Medium Value,0.7603529065620016,387.03,387.03
12437.0,2,18,4951.41,1,Medium Value,0.9945355327605971,88638.36,88638.36
12438.0,14,2,2906.85,1,Medium Value,0.9623701178843567,5594.93,5594.93
12441.0,367,1,173.55,0,Low Value,0.36586917601711116,63.5,63.5
12442.0,3,1,172.06,1,Medium Value,0.9918145070108791,170.65,170.65
12444.0,21,5,5005.46,1,Medium Value,0.9440895579986105,23628.01,23628.01
12445.0,22,1,133.4,1,Medium Value,0.9415065512454748,125.6,125.6
12446.0,58,1,1002.31,1,Medium Value,0.8530781570623032,855.05,855.05
12447.0,243,1,476.49,0,Low Value,0.5138862072768435,244.86,244.86
12448.0,44,1,449.45,1,Medium Value,0.8864345860381478,398.41,398.41
12449.0,22,4,4067.29,1,Medium Value,0.9415065512454748,15317.52,15317.52
12450.0,156,2,197.88,0,Low Value,0.6522044058560728,258.12,258.12
12451.0,11,5,9035.52,1,Medium Value,0.9703126049090957,43836.39,43836.39
12452.0,17,2,430.5700000000001,1,Medium Value,0.9544926440314748,821.95,821.95
12453.0,134,1,707.09,1,Medium Value,0.6927242354217314,489.82,489.82
12454.0,56,1,3528.34,1,Medium Value,0.857765387923706,3026.49,3026.49
12455.0,73,6,2466.86,1,Medium Value,0.8187307530779818,12118.16,12118.16
12456.0,44,3,3181.04,1,Medium Value,0.8864345860381478,8459.35,8459.35
12457.0,66,7,2363.23,1,Medium Value,0.8345839700054867,13806.2,13806.2
12458.0,71,2,947.4,1,Medium Value,0.8232292624129552,1559.85,1559.85
12461.0,94,2,826.88,1,Medium Value,0.7729551547932614,1278.28,1278.28
12462.0,19,2,1189.59,1,Medium Value,0.9492768502479139,2258.5,2258.5
12463.0,53,4,1344.78,1,Medium Value,0.8648445670640884,4652.1,4652.1
12464.0,10,8,1212.05,1,Medium Value,0.97297464056654,9434.35,9434.35
12465.0,17,2,742.19,1,Medium Value,0.9544926440314748,1416.83,1416.83
12468.0,188,2,729.54,0,Low Value,0.5974596713214747,871.74,871.74
12471.0,2,30,19824.05,1,Medium Value,0.9945355327605971,591471.66,482132.81240000005
12472.0,32,7,6572.11,1,Medium Value,0.9160619982891085,42143.22,42143.22
12473.0,29,5,3938.55,1,Medium Value,0.9236223021681012,18188.66,18188.66
12474.0,17,18,7375.79,1,Medium Value,0.9544926440314748,126722.47,126722.47
12475.0,54,1,723.38,1,Medium Value,0.8624783727362166,623.9,623.9
12476.0,16,11,6816.42,1,Medium Value,0.9571112779029973,71764.8,71764.8
12477.0,23,6,13219.74,1,Medium Value,0.9389306115378647,74474.51,74474.51
12478.0,4,1,680.99,1,Medium Value,0.9891009259234047,673.57,673.57
12479.0,11,1,527.2,1,Medium Value,0.9703126049090957,511.55,511.55
12480.0,28,4,3281.63,1,Medium Value,0.9261562437967505,12157.21,12157.21
12481.0,23,10,5596.32,1,Medium Value,0.9389306115378647,52545.56,52545.56
